% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
2.166	4	17	217	7	4	28	9422	0	0	0
2.266	4	17	227	7	4	28	9422	0	0	0
2.267	4	17	227	8	4	28	9422	0	0	0
2.363	4	17	237	4	4	28	9422	0	0	0
2.364	4	17	237	5	4	28	9422	0	0	0
2.463	4	17	247	4	4	28	9422	0	0	0
2.562	4	17	257	3	4	28	9422	0	0	0
2.661	4	17	267	2	4	28	9422	0	0	0
2.76	4	17	277	1	4	28	9422	0	0	0
2.859	4	17	286	10	4	28	9422	0	0	0
2.958	4	17	296	9	4	28	9422	0	0	0
3.057	4	17	306	8	4	28	9422	0	0	0
3.166	4	17	317	7	4	28	9422	0	0	0
3.255	4	17	326	6	4	28	9422	0	0	0
3.353	4	17	336	4	4	28	9422	0	0	0
3.452	4	17	346	3	4	28	9422	0	0	0
3.551	4	17	356	2	4	28	9422	0	0	0
3.651	4	17	366	2	4	28	9422	0	0	0
3.666	4	17	367	7	4	28	9422	0	0	0
3.749	4	17	375	10	4	28	9422	0	0	0
3.849	4	17	385	10	4	28	9422	0	0	0
3.948	4	17	395	9	4	28	9422	0	0	0
4.046	4	17	405	7	4	28	9422	0	0	0
4.146	4	17	415	7	4	28	9422	0	0	0
4.244	4	17	425	5	4	28	9422	0	0	0
4.265	4	17	427	6	4	28	9422	0	0	0
4.266	4	17	427	7	4	28	9422	0	0	0
4.343	4	17	435	4	4	28	9422	0	0	0
4.365	4	17	437	6	4	28	9422	0	0	0
4.366	4	17	437	7	4	28	9422	0	0	0
