% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	avrgSinrPerRb	ccId
2168	4	17	4	0	0	28	9422	0	1	1	1798.83	0
2268	4	17	4	0	0	28	9422	0	1	1	1793.58	0
2269	4	17	4	0	0	28	9422	0	1	1	1793.53	0
2365	4	17	4	0	0	28	9422	0	1	1	1788.49	0
2366	4	17	4	0	0	28	9422	0	1	1	1788.44	0
2465	4	17	4	0	0	28	9422	0	1	1	1783.23	0
2564	4	17	4	0	0	28	9422	0	1	1	1778.02	0
2663	4	17	4	0	0	28	9422	0	1	1	1772.79	0
2762	4	17	4	0	0	28	9422	0	1	1	1767.56	0
2861	4	17	4	0	0	28	9422	0	1	1	1762.32	0
2960	4	17	4	0	0	28	9422	0	1	1	1757.07	0
3059	4	17	4	0	0	28	9422	0	1	1	1736.98	0
3168	4	17	4	0	0	28	9422	0	1	1	1704.46	0
3257	4	17	4	0	0	28	9422	0	1	1	1678.44	0
3355	4	17	4	0	0	28	9422	0	1	1	1650.34	0
3454	4	17	4	0	0	28	9422	0	1	1	1622.52	0
3553	4	17	4	0	0	28	9422	0	1	1	1595.25	0
3653	4	17	4	0	0	28	9422	0	1	1	1568.27	0
3668	4	17	4	0	0	28	9422	0	1	1	1564.27	0
3751	4	17	4	0	0	28	9422	0	1	1	1542.35	0
3851	4	17	4	0	0	28	9422	0	1	1	1516.43	0
3950	4	17	4	0	0	28	9422	0	1	1	1491.28	0
4048	4	17	4	0	0	28	9422	0	1	1	1478.82	0
4148	4	17	4	0	0	28	9422	0	1	1	1478.76	0
4246	4	17	4	0	0	28	9422	0	1	1	1478.66	0
4267	4	17	4	0	0	28	9422	0	1	1	1478.63	0
4268	4	17	4	0	0	28	9422	0	1	1	1478.63	0
4345	4	17	4	0	0	28	9422	0	1	1	1478.51	0
4367	4	17	4	0	0	28	9422	0	1	1	1478.47	0
4368	4	17	4	0	0	28	9422	0	1	1	1478.47	0
