% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
2168	4	17	4	0	28	9422	0	1	0
2268	4	17	4	0	28	9422	0	1	0
2269	4	17	4	0	28	9422	0	1	0
2365	4	17	4	0	28	9422	0	1	0
2366	4	17	4	0	28	9422	0	1	0
2465	4	17	4	0	28	9422	0	1	0
2564	4	17	4	0	28	9422	0	1	0
2663	4	17	4	0	28	9422	0	1	0
2762	4	17	4	0	28	9422	0	1	0
2861	4	17	4	0	28	9422	0	1	0
2960	4	17	4	0	28	9422	0	1	0
3059	4	17	4	0	28	9422	0	1	0
3168	4	17	4	0	28	9422	0	1	0
3257	4	17	4	0	28	9422	0	1	0
3355	4	17	4	0	28	9422	0	1	0
3454	4	17	4	0	28	9422	0	1	0
3553	4	17	4	0	28	9422	0	1	0
3653	4	17	4	0	28	9422	0	1	0
3668	4	17	4	0	28	9422	0	1	0
3751	4	17	4	0	28	9422	0	1	0
3851	4	17	4	0	28	9422	0	1	0
3950	4	17	4	0	28	9422	0	1	0
4048	4	17	4	0	28	9422	0	1	0
4148	4	17	4	0	28	9422	0	1	0
4246	4	17	4	0	28	9422	0	1	0
4267	4	17	4	0	28	9422	0	1	0
4268	4	17	4	0	28	9422	0	1	0
4345	4	17	4	0	28	9422	0	1	0
4367	4	17	4	0	28	9422	0	1	0
4368	4	17	4	0	28	9422	0	1	0
